Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Thornbury,155.0,166.25,171.67,179.0,182.5,186.25,198.75,220.25,265.0,293.75,302.75,305.0,335.0,330.0,342.0,352.5,363.75,383.75,415.0,420.75,422.5,402.5,402.5,430.0
Whittlesea,156.25,167.0,179.33,197.0,207.5,214.5,237.5,251.25,289.25,319.5,332.5,350.0,335.0,330.0,330.0,338.75,345.0,355.0,372.5,382.5,390.0,392.5,415.0,440.0
Group Total,175.0,182.5,193.33,200.0,206.25,212.5,223.75,244.75,279.25,305.0,325.0,336.25,340.0,340.0,343.75,350.0,356.25,371.25,388.75,400.0,400.0,400.0,407.5,430.0
Bayswater,160.5,170.0,173.33,179.0,183.75,193.75,201.25,223.25,252.5,279.0,295.75,316.5,320.0,326.25,336.25,346.25,350.0,362.5,378.75,388.75,390.0,400.0,418.75,440.0
Boronia,167.5,178.75,181.67,188.0,193.75,206.25,217.5,237.5,262.5,287.5,311.25,322.5,327.5,332.5,340.0,350.0,352.5,365.0,383.75,390.0,393.75,397.5,417.5,450.0
Croydon-Lilydale,170.0,180.0,186.67,192.0,200.0,206.25,220.0,237.0,266.25,295.0,311.25,332.5,340.0,341.25,350.5,361.25,373.75,383.75,398.75,407.5,413.75,428.75,451.25,470.0
Ferntree Gully,174.5,180.75,185.0,191.8,196.25,203.75,216.25,237.5,265.0,288.75,312.5,325.0,322.5,336.25,343.75,352.5,370.0,386.25,398.75,402.5,417.5,422.5,438.75,460.0
Ringwood,166.25,175.0,183.33,190.0,195.0,203.75,216.25,236.25,265.0,291.25,312.5,325.25,332.5,333.75,346.25,357.5,367.5,381.25,392.5,400.0,412.5,410.0,427.5,450.0
Rowville,205.0,212.5,225.0,237.0,245.0,253.75,275.25,292.0,327.5,340.25,360.25,380.0,391.25,398.75,400.0,405.0,420.0,439.0,446.25,450.0,452.5,465.0,493.75,510.0
Wantirna-Scoresby,201.25,211.25,218.33,225.0,230.0,238.75,248.75,267.5,305.0,330.0,347.5,358.75,366.25,372.0,380.0,395.0,400.0,420.0,435.0,442.25,443.25,450.0,467.5,490.0
Yarra Ranges,152.5,162.5,168.33,179.0,192.5,198.75,210.0,223.75,248.75,275.25,292.5,315.0,320.0,328.75,333.75,347.5,351.25,368.75,383.75,396.25,400.0,415.0,450.75,478.0
